Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-17,2.125,-0.9666701684894065,-0.9666701684894065
2025-02-18,3.75,-0.5148458779142592,-0.5148458779142592
2025-02-19,4.625,-0.27155587529687225,-0.27155587529687225
2025-02-20,2.5,-0.8624030245105263,-0.8624030245105263
2025-02-21,6.75,0.31929127391678175,0.31929127391678175
2025-02-23,0.875,-1.3142273150856734,-1.3142273150856734
2025-02-24,6.25,0.18026841527827492,0.18026841527827492
2025-02-25,6.875,0.35404698857640843,0.35404698857640843
2025-02-26,9.0,0.9448941377900625,0.9448941377900625
2025-03-02,4.75,-0.23680016063724557,-0.23680016063724557
2025-03-03,14.25,2.404634153494384,2.404634153494384
2025-03-04,15.75,2.8217027294099046,2.8217027294099046
2025-03-05,13.75,2.2656112948558773,2.2656112948558773
2025-03-06,8.875,0.9101384231304358,0.9101384231304358
