Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-17,3.25,-0.19599767840866333,-0.19599767840866333
2025-02-18,1.5,-0.8646226699420148,-0.8646226699420148
2025-02-19,2.5,-0.48255124620867107,-0.48255124620867107
2025-02-20,2.75,-0.3870333902753352,-0.3870333902753352
2025-02-23,1.5,-0.8646226699420148,-0.8646226699420148
2025-02-24,3.5,-0.10047982247532743,-0.10047982247532743
2025-02-25,4.75,0.37710945719135214,0.37710945719135214
2025-02-26,3.0,-0.2915155343419993,-0.2915155343419993
2025-03-02,3.0,-0.2915155343419993,-0.2915155343419993
2025-03-03,5.75,0.7591808809246958,0.7591808809246958
2025-03-04,5.25,0.5681451690580239,0.5681451690580239
2025-03-05,5.75,0.7591808809246958,0.7591808809246958
2025-03-06,3.5,-0.10047982247532743,-0.10047982247532743
2025-03-09,4.0,0.09055588939134439,0.09055588939134439
2025-03-10,6.75,1.1412523046580394,1.1412523046580394
2025-03-11,2.75,-0.3870333902753352,-0.3870333902753352
2025-03-16,3.5,-0.10047982247532743,-0.10047982247532743
2025-03-17,2.75,-0.3870333902753352,-0.3870333902753352
2025-03-18,1.75,-0.7691048140086788,-0.7691048140086788
2025-03-19,2.25,-0.578069102142007,-0.578069102142007
2025-03-20,2.25,-0.578069102142007,-0.578069102142007
2025-03-23,3.0,-0.2915155343419993,-0.2915155343419993
2025-03-24,1.75,-0.7691048140086788,-0.7691048140086788
2025-03-25,2.25,-0.578069102142007,-0.578069102142007
2025-03-26,2.75,-0.3870333902753352,-0.3870333902753352
2025-03-30,5.75,0.7591808809246958,0.7591808809246958
2025-03-31,3.0,-0.2915155343419993,-0.2915155343419993
2025-04-01,3.25,-0.19599767840866333,-0.19599767840866333
2025-04-02,9.5,2.1919487199247345,2.1919487199247345
2025-04-03,9.25,2.0964308639913987,2.0964308639913987
2025-04-06,14.75,4.197823694524788,4.197823694524788
2025-04-07,8.75,1.9053951521247268,1.9053951521247268
2025-04-08,22.5,7.158877228458203,7.158877228458203
2025-04-09,10.75,2.669537999591414,2.669537999591414
2025-04-13,9.25,2.0964308639913987,2.0964308639913987
2025-04-14,4.25,0.1860737453246803,0.1860737453246803
2025-04-15,3.0,-0.2915155343419993,-0.2915155343419993
2025-04-16,5.25,0.5681451690580239,0.5681451690580239
2025-04-20,2.5,-0.48255124620867107,-0.48255124620867107
2025-04-21,3.0,-0.2915155343419993,-0.2915155343419993
2025-04-22,5.5,0.6636630249913599,0.6636630249913599
2025-04-23,3.25,-0.19599767840866333,-0.19599767840866333
2025-04-24,3.0,-0.2915155343419993,-0.2915155343419993
2025-04-27,2.25,-0.578069102142007,-0.578069102142007
2025-04-28,2.25,-0.578069102142007,-0.578069102142007
2025-04-29,2.5,-0.48255124620867107,-0.48255124620867107
2025-05-01,4.75,0.37710945719135214,0.37710945719135214
2025-05-04,3.5,-0.10047982247532743,-0.10047982247532743
2025-05-05,2.5,-0.48255124620867107,-0.48255124620867107
2025-05-06,3.5,-0.10047982247532743,-0.10047982247532743
2025-05-07,3.0,-0.2915155343419993,-0.2915155343419993
2025-05-08,3.0,-0.2915155343419993,-0.2915155343419993
2025-05-11,2.0,-0.673586958075343,-0.673586958075343
2025-05-12,3.0,-0.2915155343419993,-0.2915155343419993
2025-05-14,2.0,-0.673586958075343,-0.673586958075343
2025-05-18,5.25,0.5681451690580239,0.5681451690580239
2025-05-19,2.75,-0.3870333902753352,-0.3870333902753352
2025-05-20,5.25,0.5681451690580239,0.5681451690580239
2025-05-21,3.0,-0.2915155343419993,-0.2915155343419993
2025-05-22,2.75,-0.3870333902753352,-0.3870333902753352
2025-05-25,5.0,0.47262731312468803,0.47262731312468803
2025-05-26,3.25,-0.19599767840866333,-0.19599767840866333
2025-05-27,3.0,-0.2915155343419993,-0.2915155343419993
2025-05-28,6.5,1.0457344487247036,1.0457344487247036
2025-06-01,4.0,0.09055588939134439,0.09055588939134439
2025-06-02,2.25,-0.578069102142007,-0.578069102142007
2025-06-03,1.75,-0.7691048140086788,-0.7691048140086788
2025-06-04,2.25,-0.578069102142007,-0.578069102142007
2025-06-05,1.5,-0.8646226699420148,-0.8646226699420148
2025-06-08,3.0,-0.2915155343419993,-0.2915155343419993
2025-06-09,2.5,-0.48255124620867107,-0.48255124620867107
2025-06-10,2.75,-0.3870333902753352,-0.3870333902753352
2025-06-15,4.0,0.09055588939134439,0.09055588939134439
2025-06-16,3.75,-0.00496196654199152,-0.00496196654199152
2025-06-17,3.25,-0.19599767840866333,-0.19599767840866333
2025-06-18,3.25,-0.19599767840866333,-0.19599767840866333
2025-06-19,1.75,-0.7691048140086788,-0.7691048140086788
2025-06-22,5.25,0.5681451690580239,0.5681451690580239
2025-06-23,2.25,-0.578069102142007,-0.578069102142007
2025-06-24,1.25,-0.9601405258753507,-0.9601405258753507
2025-06-25,2.75,-0.3870333902753352,-0.3870333902753352
2025-06-29,2.5,-0.48255124620867107,-0.48255124620867107
2025-06-30,3.0,-0.2915155343419993,-0.2915155343419993
2025-07-01,1.5,-0.8646226699420148,-0.8646226699420148
2025-07-02,2.5,-0.48255124620867107,-0.48255124620867107
2025-07-06,2.0,-0.673586958075343,-0.673586958075343
2025-07-07,2.0,-0.673586958075343,-0.673586958075343
2025-07-08,1.75,-0.7691048140086788,-0.7691048140086788
2025-07-09,2.5,-0.48255124620867107,-0.48255124620867107
2025-07-10,2.75,-0.3870333902753352,-0.3870333902753352
2025-07-13,0.0,-1.4377298055420302,-1.4377298055420302
2025-07-14,0.75,-1.1511762377420225,-1.1511762377420225
