Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-25,7.0,-0.7697364356955412,-0.7697364356955412
2025-03-26,8.0,-0.5828944290822645,-0.5828944290822645
2025-03-31,11.5,0.07105259406420397,0.07105259406420397
2025-04-01,9.0,-0.3960524224689878,-0.3960524224689878
2025-04-02,21.5,1.939472660196971,1.939472660196971
2025-04-03,13.5,0.44473660729075737,0.44473660729075737
2025-04-04,21.0,1.8460516568903327,1.8460516568903327
2025-04-07,29.0,3.3407877097965466,3.3407877097965466
2025-04-08,28.0,3.15394570318327,3.15394570318327
2025-04-09,35.5,4.5552607527828455,4.5552607527828455
2025-04-14,10.5,-0.11578941254907273,-0.11578941254907273
2025-04-15,15.0,0.7249996172106724,0.7249996172106724
2025-04-16,17.0,1.0986836304372258,1.0986836304372258
2025-04-17,11.0,-0.02236840924243438,-0.02236840924243438
