Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-06-15,5.25,0.2721548537692551,0.2721548537692551
2023-06-16,4.75,0.08553711381537742,0.08553711381537742
2023-06-20,2.75,-0.6609338460001332,-0.6609338460001332
2023-06-21,5.5,0.3654637237461939,0.3654637237461939
2023-06-22,4.25,-0.10108062613850023,-0.10108062613850023
2023-06-23,8.5,1.4851701634694598,1.4851701634694598
2023-06-26,6.25,0.6453903336770104,0.6453903336770104
2023-06-27,2.5,-0.754242715977072,-0.754242715977072
2023-06-28,3.75,-0.28769836609237787,-0.28769836609237787
2023-07-05,4.5,-0.007771756161561408,-0.007771756161561408
2023-07-06,4.0,-0.19438949611543904,-0.19438949611543904
2023-07-10,3.75,-0.28769836609237787,-0.28769836609237787
2023-07-11,4.25,-0.10108062613850023,-0.10108062613850023
