Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-29,13.0,-0.3987006358780043,-0.3987006358780043
2024-12-01,9.0,-0.7475318807984702,-0.7475318807984702
2024-12-02,19.5,0.16815013711775284,0.16815013711775284
2024-12-03,20.0,0.21175404273281107,0.21175404273281107
2024-12-04,21.5,0.3425657595779858,0.3425657595779858
2024-12-05,15.5,-0.1806811078027131,-0.1806811078027131
2024-12-08,5.0,-1.0963631257189361,-1.0963631257189361
2024-12-09,17.0,-0.04986939095753837,-0.04986939095753837
2024-12-10,15.5,-0.1806811078027131,-0.1806811078027131
2024-12-13,22.0,0.386169665193044,0.386169665193044
2024-12-15,2.5,-1.3143826537942274,-1.3143826537942274
2024-12-16,12.0,-0.4859084471081208,-0.4859084471081208
2024-12-17,16.0,-0.13707720218765485,-0.13707720218765485
2024-12-18,28.5,0.9530204381888012,0.9530204381888012
2024-12-22,4.0,-1.1835709369490526,-1.1835709369490526
2024-12-23,16.5,-0.0934732965725966,-0.0934732965725966
2024-12-24,12.0,-0.4859084471081208,-0.4859084471081208
2024-12-25,6.5,-0.9655514088737615,-0.9655514088737615
2024-12-26,15.5,-0.1806811078027131,-0.1806811078027131
2024-12-27,15.0,-0.22428501341777132,-0.22428501341777132
2024-12-29,3.0,-1.270778748179169,-1.270778748179169
2024-12-30,21.5,0.3425657595779858,0.3425657595779858
2024-12-31,18.0,0.03733842027257811,0.03733842027257811
2025-01-01,7.5,-0.878343597643645,-0.878343597643645
2025-01-02,18.0,0.03733842027257811,0.03733842027257811
2025-01-03,14.5,-0.2678889190328296,-0.2678889190328296
2025-01-05,7.5,-0.878343597643645,-0.878343597643645
2025-01-06,15.0,-0.22428501341777132,-0.22428501341777132
2025-01-07,20.0,0.21175404273281107,0.21175404273281107
2025-01-08,15.5,-0.1806811078027131,-0.1806811078027131
2025-01-09,12.0,-0.4859084471081208,-0.4859084471081208
2025-01-12,7.5,-0.878343597643645,-0.878343597643645
2025-01-13,11.0,-0.5731162583382373,-0.5731162583382373
2025-01-16,19.5,0.16815013711775284,0.16815013711775284
2025-01-17,12.5,-0.44230454149306253,-0.44230454149306253
2025-01-19,3.0,-1.270778748179169,-1.270778748179169
2025-01-20,25.5,0.6913970044984518,0.6913970044984518
2025-01-21,11.0,-0.5731162583382373,-0.5731162583382373
2025-01-22,12.0,-0.4859084471081208,-0.4859084471081208
2025-01-23,15.5,-0.1806811078027131,-0.1806811078027131
2025-01-24,8.5,-0.7911357864135284,-0.7911357864135284
2025-01-26,10.5,-0.6167201639532955,-0.6167201639532955
2025-01-27,18.0,0.03733842027257811,0.03733842027257811
2025-01-28,11.5,-0.529512352723179,-0.529512352723179
2025-01-29,17.0,-0.04986939095753837,-0.04986939095753837
2025-02-02,17.5,-0.006265485342480129,-0.006265485342480129
2025-02-03,18.5,0.08094232588763635,0.08094232588763635
2025-02-04,20.5,0.25535794834786935,0.25535794834786935
2025-02-05,26.5,0.7786048157285682,0.7786048157285682
2025-02-06,11.0,-0.5731162583382373,-0.5731162583382373
2025-02-09,4.5,-1.1399670313339945,-1.1399670313339945
2025-02-10,11.0,-0.5731162583382373,-0.5731162583382373
2025-02-11,14.5,-0.2678889190328296,-0.2678889190328296
2025-02-14,21.5,0.3425657595779858,0.3425657595779858
2025-02-16,5.5,-1.052759220103878,-1.052759220103878
2025-02-17,7.0,-0.9219475032587032,-0.9219475032587032
2025-02-18,11.5,-0.529512352723179,-0.529512352723179
2025-02-19,11.5,-0.529512352723179,-0.529512352723179
2025-02-20,9.5,-0.703927975183412,-0.703927975183412
2025-02-21,21.0,0.29896185396292757,0.29896185396292757
2025-02-23,4.0,-1.1835709369490526,-1.1835709369490526
