Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-06-15,6.0,0.322635533038867,0.322635533038867
2023-06-16,8.0,1.027448779033645,1.027448779033645
2023-06-20,3.75,-0.47027936870525844,-0.47027936870525844
2023-06-21,8.75,1.2917537462816868,1.2917537462816868
2023-06-22,2.75,-0.8226859917026474,-0.8226859917026474
2023-06-23,2.75,-0.8226859917026474,-0.8226859917026474
2023-06-26,4.0,-0.3821777129559112,-0.3821777129559112
2023-06-27,3.5,-0.5583810244546057,-0.5583810244546057
2023-06-28,7.0,0.6750421560362561,0.6750421560362561
2023-07-03,10.0,1.7322620250284233,1.7322620250284233
2023-07-05,9.25,1.4679570577803815,1.4679570577803815
2023-07-06,6.25,0.41073718878821425,0.41073718878821425
2023-07-10,2.25,-0.9988893032013421,-0.9988893032013421
