Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-14,5.75,-0.42354861283327383,-0.42354861283327383
2025-03-16,3.5,-0.8744618751189248,-0.8744618751189248
2025-03-17,8.0,0.027364649452377186,0.027364649452377186
2025-03-18,7.5,-0.07283829772221193,-0.07283829772221193
2025-03-19,11.25,0.6786838060872064,0.6786838060872064
2025-03-20,8.5,0.1275675966269663,0.1275675966269663
2025-03-21,6.5,-0.27324419207139017,-0.27324419207139017
2025-03-23,3.0,-0.9746648222935139,-0.9746648222935139
2025-03-24,7.5,-0.07283829772221193,-0.07283829772221193
2025-03-25,8.0,0.027364649452377186,0.027364649452377186
2025-03-26,5.25,-0.5237515600078629,-0.5237515600078629
2025-03-30,5.75,-0.42354861283327383,-0.42354861283327383
2025-03-31,9.25,0.27787201738885,0.27787201738885
