Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-03-26,5.0,0.606246000576658,0.606246000576658
2023-03-27,5.0,0.606246000576658,0.606246000576658
2023-03-28,2.75,-0.2910493020269955,-0.2910493020269955
2023-03-29,2.75,-0.2910493020269955,-0.2910493020269955
2023-04-02,6.5,1.2044428689790938,1.2044428689790938
2023-04-03,3.75,0.10774861024129494,0.10774861024129494
2023-04-04,2.5,-0.39074878009406816,-0.39074878009406816
2023-04-05,3.0,-0.19134982395992292,-0.19134982395992292
2023-04-06,1.5,-0.7895466923623586,-0.7895466923623586
2023-04-09,2.25,-0.4904482581611408,-0.4904482581611408
2023-04-10,3.0,-0.19134982395992292,-0.19134982395992292
2023-04-11,1.25,-0.8892461704294313,-0.8892461704294313
2023-04-16,2.5,-0.39074878009406816,-0.39074878009406816
2023-04-17,2.0,-0.5901477362282134,-0.5901477362282134
2023-04-18,2.0,-0.5901477362282134,-0.5901477362282134
2023-04-19,1.75,-0.6898472142952861,-0.6898472142952861
2023-04-20,2.0,-0.5901477362282134,-0.5901477362282134
2023-04-23,1.75,-0.6898472142952861,-0.6898472142952861
2023-04-24,3.0,-0.19134982395992292,-0.19134982395992292
2023-04-25,2.75,-0.2910493020269955,-0.2910493020269955
2023-04-26,2.5,-0.39074878009406816,-0.39074878009406816
2023-04-30,3.5,0.00804913217422231,0.00804913217422231
2023-05-01,2.5,-0.39074878009406816,-0.39074878009406816
2023-05-02,1.75,-0.6898472142952861,-0.6898472142952861
2023-05-03,7.5,1.6032407812473841,1.6032407812473841
2023-05-04,2.25,-0.4904482581611408,-0.4904482581611408
2023-05-07,3.5,0.00804913217422231,0.00804913217422231
2023-05-08,2.5,-0.39074878009406816,-0.39074878009406816
2023-05-09,1.75,-0.6898472142952861,-0.6898472142952861
2023-05-14,2.0,-0.5901477362282134,-0.5901477362282134
2023-05-15,3.0,-0.19134982395992292,-0.19134982395992292
2023-05-16,2.5,-0.39074878009406816,-0.39074878009406816
2023-05-17,2.5,-0.39074878009406816,-0.39074878009406816
2023-05-18,1.75,-0.6898472142952861,-0.6898472142952861
2023-05-21,3.75,0.10774861024129494,0.10774861024129494
2023-05-22,2.0,-0.5901477362282134,-0.5901477362282134
2023-05-23,3.25,-0.09165034589285032,-0.09165034589285032
2023-05-24,4.75,0.5065465225095854,0.5065465225095854
