Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-21,1.1875,-0.05433859963944225,-0.05433859963944225
2025-04-22,1.4375,0.15695158510050644,0.15695158510050644
2025-04-23,0.75,-0.42409642293435246,-0.42409642293435246
2025-04-24,0.625,-0.5297415153043268,-0.5297415153043268
2025-04-25,1.0625,-0.1599836920094166,-0.1599836920094166
2025-04-28,0.875,-0.31845133056437813,-0.31845133056437813
2025-04-29,0.5625,-0.582564061489314,-0.582564061489314
2025-05-01,1.25,-0.0015160534544550771,-0.0015160534544550771
2025-05-05,0.5625,-0.582564061489314,-0.582564061489314
2025-05-06,1.3125,0.051306492730532095,0.051306492730532095
2025-05-07,0.875,-0.31845133056437813,-0.31845133056437813
2025-05-08,0.875,-0.31845133056437813,-0.31845133056437813
2025-05-09,0.5625,-0.582564061489314,-0.582564061489314
2025-05-12,3.1875,1.6359828782801473,1.6359828782801473
2025-05-14,0.5,-0.6353866076743012,-0.6353866076743012
2025-05-16,0.9375,-0.26562878437939097,-0.26562878437939097
2025-05-19,1.0625,-0.1599836920094166,-0.1599836920094166
2025-05-20,0.8125,-0.3712738767493653,-0.3712738767493653
2025-05-21,0.75,-0.42409642293435246,-0.42409642293435246
2025-05-22,0.625,-0.5297415153043268,-0.5297415153043268
2025-05-23,0.5,-0.6353866076743012,-0.6353866076743012
2025-05-26,0.5,-0.6353866076743012,-0.6353866076743012
2025-05-27,0.3125,-0.7938542462292627,-0.7938542462292627
2025-05-28,5.0,3.1678367176447755,3.1678367176447755
2025-06-02,5.5625,3.64323963330966,3.64323963330966
2025-06-03,0.75,-0.42409642293435246,-0.42409642293435246
2025-06-04,0.6875,-0.4769189691193397,-0.4769189691193397
2025-06-05,0.5,-0.6353866076743012,-0.6353866076743012
2025-06-09,0.375,-0.7410317000442755,-0.7410317000442755
2025-06-10,1.0,-0.21280623819440378,-0.21280623819440378
2025-06-13,2.0625,0.6851770469503782,0.6851770469503782
2025-06-16,1.125,-0.10716114582442943,-0.10716114582442943
2025-06-17,0.8125,-0.3712738767493653,-0.3712738767493653
2025-06-18,0.875,-0.31845133056437813,-0.31845133056437813
2025-06-19,0.375,-0.7410317000442755,-0.7410317000442755
2025-06-20,0.93896484375,-0.2643907559531803,-0.2643907559531803
2025-06-23,0.6875,-0.4769189691193397,-0.4769189691193397
2025-06-24,0.5,-0.6353866076743012,-0.6353866076743012
