Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-28,3.25,-0.3443893183635472,-0.3443893183635472
2025-06-02,4.75,0.2416216159026219,0.2416216159026219
2025-06-03,4.25,0.04628463781389887,0.04628463781389887
2025-06-04,4.5,0.1439531268582604,0.1439531268582604
2025-06-05,7.5,1.3159749953905986,1.3159749953905986
2025-06-09,4.25,0.04628463781389887,0.04628463781389887
2025-06-10,3.75,-0.14905234027482417,-0.14905234027482417
2025-06-13,7.0,1.1206380173018755,1.1206380173018755
2025-06-16,5.0,0.3392901049469834,0.3392901049469834
2025-06-17,6.5,0.9253010392131525,0.9253010392131525
2025-06-18,6.0,0.7299640611244295,0.7299640611244295
2025-06-19,1.25,-1.1257372307184392,-1.1257372307184392
2025-06-20,7.5,1.3159749953905986,1.3159749953905986
2025-06-23,4.0,-0.05138385123046264,-0.05138385123046264
2025-06-24,3.25,-0.3443893183635472,-0.3443893183635472
2025-06-25,5.5,0.5346270830357065,0.5346270830357065
2025-06-30,5.0,0.3392901049469834,0.3392901049469834
2025-07-01,3.25,-0.3443893183635472,-0.3443893183635472
2025-07-02,3.75,-0.14905234027482417,-0.14905234027482417
2025-07-04,2.75,-0.5397262964522702,-0.5397262964522702
2025-07-07,3.0,-0.4420578074079087,-0.4420578074079087
2025-07-08,1.5,-1.0280687416740777,-1.0280687416740777
2025-07-09,5.5,0.5346270830357065,0.5346270830357065
2025-07-10,1.25,-1.1257372307184392,-1.1257372307184392
2025-07-11,2.75,-0.5397262964522702,-0.5397262964522702
2025-07-14,4.0,-0.05138385123046264,-0.05138385123046264
2025-07-17,3.75,-0.14905234027482417,-0.14905234027482417
2025-07-18,2.75,-0.5397262964522702,-0.5397262964522702
2025-07-21,1.75,-0.9304002526297163,-0.9304002526297163
2025-07-22,2.0,-0.8327317635853547,-0.8327317635853547
2025-07-23,4.25,0.04628463781389887,0.04628463781389887
2025-07-24,3.0,-0.4420578074079087,-0.4420578074079087
2025-07-25,4.25,0.04628463781389887,0.04628463781389887
2025-07-28,2.0,-0.8327317635853547,-0.8327317635853547
2025-07-29,4.0,-0.05138385123046264,-0.05138385123046264
2025-08-04,5.25,0.43695859399134496,0.43695859399134496
2025-08-05,3.0,-0.4420578074079087,-0.4420578074079087
2025-08-06,2.75,-0.5397262964522702,-0.5397262964522702
2025-08-07,2.5,-0.6373947854966318,-0.6373947854966318
2025-08-08,1.25,-1.1257372307184392,-1.1257372307184392
2025-08-11,3.0,-0.4420578074079087,-0.4420578074079087
2025-08-13,2.5,-0.6373947854966318,-0.6373947854966318
2025-08-15,4.75,0.2416216159026219,0.2416216159026219
2025-08-18,2.5,-0.6373947854966318,-0.6373947854966318
