Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-05-14,2.0,-1.3008502854608495,-1.3008502854608495
2023-05-15,5.25,-0.6692151611669019,-0.6692151611669019
2023-05-16,13.75,0.9827536254480378,0.9827536254480378
2023-05-17,9.75,0.20535654939394848,0.20535654939394848
2023-05-18,13.0,0.8369916736878961,0.8369916736878961
2023-05-19,12.25,0.6912297219277542,0.6912297219277542
2023-05-21,3.75,-0.9607390646871854,-0.9607390646871854
2023-05-22,9.75,0.20535654939394848,0.20535654939394848
2023-05-23,9.75,0.20535654939394848,0.20535654939394848
2023-05-24,11.0,0.4482931356608514,0.4482931356608514
2023-05-28,4.75,-0.766389795673663,-0.766389795673663
2023-05-30,26.0,3.3635321708636865,3.3635321708636865
2023-05-31,7.75,-0.18334198863309614,-0.18334198863309614
2023-06-01,13.0,0.8369916736878961,0.8369916736878961
