Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2001-01-22,12.7503662109375,0.43308699600420625,0.43308699600420625
2001-01-23,7.75048828125,-0.42918362855111875,-0.42918362855111875
2001-01-24,14.7503662109375,0.7780036666434905,0.7780036666434905
2001-01-25,9.5008544921875,-0.1273183856130879,-0.1273183856130879
2001-01-28,7.0,-0.5586115882123931,-0.5586115882123931
2001-01-29,12.2496337890625,0.346731516087071,0.346731516087071
2001-01-30,11.2496337890625,0.17427318076742887,0.17427318076742887
2001-01-31,9.0,-0.21369491757310888,-0.21369491757310888
2001-02-01,10.7503662109375,0.08817032536492198,0.08817032536492198
2001-02-04,6.0,-0.7310699235320353,-0.7310699235320353
2001-02-05,7.7503662109375,-0.42920468059400446,-0.42920468059400446
2001-02-06,5.748779296875,-0.7743950277908028,-0.7743950277908028
