Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-12,2.625,0.09600501086437303,0.09600501086437303
2025-01-13,1.125,-0.6032999709959627,-0.6032999709959627
2025-01-16,0.875,-0.7198508013060186,-0.7198508013060186
2025-01-19,1.25,-0.5450245558409347,-0.5450245558409347
2025-01-20,3.5,0.5039329169495689,0.5039329169495689
2025-01-21,1.5,-0.42847372553087876,-0.42847372553087876
2025-01-22,0.875,-0.7198508013060186,-0.7198508013060186
2025-01-23,2.25,-0.07882123460071089,-0.07882123460071089
2025-01-26,2.125,-0.13709664975573888,-0.13709664975573888
2025-01-27,1.875,-0.2536474800657948,-0.2536474800657948
2025-01-28,1.5,-0.42847372553087876,-0.42847372553087876
2025-01-29,1.125,-0.6032999709959627,-0.6032999709959627
2025-02-02,5.5,1.4363395594300163,1.4363395594300163
2025-02-03,1.125,-0.6032999709959627,-0.6032999709959627
2025-02-04,1.25,-0.5450245558409347,-0.5450245558409347
2025-02-05,1.125,-0.6032999709959627,-0.6032999709959627
2025-02-06,1.125,-0.6032999709959627,-0.6032999709959627
2025-02-09,1.625,-0.37019831037585077,-0.37019831037585077
2025-02-10,1.125,-0.6032999709959627,-0.6032999709959627
2025-02-11,1.875,-0.2536474800657948,-0.2536474800657948
2025-02-16,1.5,-0.42847372553087876,-0.42847372553087876
2025-02-17,1.75,-0.3119228952208228,-0.3119228952208228
2025-02-18,1.0,-0.6615753861509907,-0.6615753861509907
2025-02-19,1.5,-0.42847372553087876,-0.42847372553087876
2025-02-20,1.75,-0.3119228952208228,-0.3119228952208228
2025-02-23,0.875,-0.7198508013060186,-0.7198508013060186
2025-02-24,2.375,-0.020545819445682918,-0.020545819445682918
2025-02-25,3.25,0.3873820866395129,0.3873820866395129
2025-02-26,4.25,0.8535854078797367,0.8535854078797367
2025-03-02,4.75,1.0866870684998486,1.0866870684998486
2025-03-03,7.5,2.368746201910464,2.368746201910464
2025-03-04,6.0,1.6694412200501283,1.6694412200501283
2025-03-05,6.0,1.6694412200501283,1.6694412200501283
2025-03-06,4.125,0.7953099927247087,0.7953099927247087
2025-03-09,5.25,1.3197887291199606,1.3197887291199606
2025-03-10,4.5,0.9701362381897927,0.9701362381897927
2025-03-11,1.75,-0.3119228952208228,-0.3119228952208228
2025-03-16,4.25,0.8535854078797367,0.8535854078797367
2025-03-17,1.75,-0.3119228952208228,-0.3119228952208228
2025-03-18,1.125,-0.6032999709959627,-0.6032999709959627
2025-03-19,1.25,-0.5450245558409347,-0.5450245558409347
2025-03-20,1.25,-0.5450245558409347,-0.5450245558409347
2025-03-23,2.125,-0.13709664975573888,-0.13709664975573888
2025-03-24,1.25,-0.5450245558409347,-0.5450245558409347
2025-03-25,1.25,-0.5450245558409347,-0.5450245558409347
