Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-26,6.004028320312273,-0.6144251293159354,-0.6144251293159354
2025-03-31,6.5,-0.5186763269768312,-0.5186763269768312
2025-04-01,10.0,0.1570090436029227,0.1570090436029227
2025-04-02,10.5,0.2535355251143161,0.2535355251143161
2025-04-03,12.0,0.5431149696484963,0.5431149696484963
2025-04-04,25.0,3.0528034889447246,3.0528034889447246
2025-04-07,29.0,3.8250153410358716,3.8250153410358716
2025-04-08,16.0,1.3153268217396434,1.3153268217396434
2025-04-09,50.5,7.975654046025788,7.975654046025788
2025-04-14,10.5,0.2535355251143161,0.2535355251143161
2025-04-15,15.5,1.2188003402282501,1.2188003402282501
2025-04-16,10.004028320312273,0.1577867227752118,0.1577867227752118
2025-04-17,6.5,-0.5186763269768312,-0.5186763269768312
