Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-22,3.75,-0.5313172500245708,-0.5313172500245708
2025-04-23,5.5,0.1466698598201507,0.1466698598201507
2025-04-24,3.5,-0.6281725514309596,-0.6281725514309596
2025-04-25,4.25,-0.33760664721179323,-0.33760664721179323
2025-04-28,4.5,-0.24075134580540444,-0.24075134580540444
2025-04-29,3.75,-0.5313172500245708,-0.5313172500245708
2025-05-01,5.0,-0.04704074299262686,-0.04704074299262686
2025-05-05,2.0,-1.2093043598692923,-1.2093043598692923
2025-05-06,3.25,-0.7250278528373484,-0.7250278528373484
2025-05-07,3.25,-0.7250278528373484,-0.7250278528373484
2025-05-08,3.25,-0.7250278528373484,-0.7250278528373484
2025-05-09,3.0,-0.8218831542437371,-0.8218831542437371
2025-05-12,8.5,1.3089334766968161,1.3089334766968161
