Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-24,1.75,-0.8575859076843748,-0.8575859076843748
2025-03-25,2.25,-0.6431894307632812,-0.6431894307632812
2025-03-26,2.75,-0.4287929538421874,-0.4287929538421874
2025-03-31,4.0,0.10719823846054685,0.10719823846054685
2025-04-01,3.25,-0.2143964769210937,-0.2143964769210937
2025-04-02,6.375,1.125581503835742,1.125581503835742
2025-04-03,5.875,0.9111850269146483,0.9111850269146483
2025-04-04,13.25,4.073533061500781,4.073533061500781
2025-04-07,10.625,2.947951557665039,2.947951557665039
2025-04-08,9.125,2.3047621269017573,2.3047621269017573
2025-04-09,14.0,4.395127776882421,4.395127776882421
2025-04-14,6.25,1.0719823846054686,1.0719823846054686
2025-04-15,4.375,0.26799559615136714,0.26799559615136714
2025-04-16,5.125,0.5895903115330077,0.5895903115330077
2025-04-17,4.0,0.10719823846054685,0.10719823846054685
2025-04-21,4.75,0.4287929538421874,0.4287929538421874
2025-04-22,3.0,-0.3215947153816406,-0.3215947153816406
2025-04-23,4.875,0.48239207307246085,0.48239207307246085
2025-04-24,2.875,-0.375193834611914,-0.375193834611914
2025-04-25,4.25,0.2143964769210937,0.2143964769210937
2025-04-28,5.0,0.5359911923027343,0.5359911923027343
2025-04-29,2.125,-0.6967885499935546,-0.6967885499935546
2025-05-01,5.5,0.750387669223828,0.750387669223828
2025-05-05,2.25,-0.6431894307632812,-0.6431894307632812
2025-05-06,3.0,-0.3215947153816406,-0.3215947153816406
2025-05-07,4.125,0.1607973576908203,0.1607973576908203
2025-05-08,6.75,1.2863788615265623,1.2863788615265623
2025-05-09,3.375,-0.1607973576908203,-0.1607973576908203
2025-05-12,2.625,-0.48239207307246085,-0.48239207307246085
2025-05-14,3.875,0.053599119230273426,0.053599119230273426
2025-05-16,3.5,-0.10719823846054685,-0.10719823846054685
2025-05-19,3.0,-0.3215947153816406,-0.3215947153816406
2025-05-20,2.75,-0.4287929538421874,-0.4287929538421874
2025-05-21,3.875,0.053599119230273426,0.053599119230273426
2025-05-22,3.0,-0.3215947153816406,-0.3215947153816406
2025-05-23,2.25,-0.6431894307632812,-0.6431894307632812
2025-05-26,0.625,-1.3399779807568357,-1.3399779807568357
2025-05-27,2.5,-0.5359911923027343,-0.5359911923027343
2025-05-28,3.5,-0.10719823846054685,-0.10719823846054685
2025-06-02,4.75,0.4287929538421874,0.4287929538421874
2025-06-03,2.375,-0.5895903115330077,-0.5895903115330077
2025-06-04,2.875,-0.375193834611914,-0.375193834611914
2025-06-05,5.75,0.8575859076843748,0.8575859076843748
2025-06-09,2.875,-0.375193834611914,-0.375193834611914
2025-06-10,2.5,-0.5359911923027343,-0.5359911923027343
2025-06-13,4.0,0.10719823846054685,0.10719823846054685
2025-06-16,2.75,-0.4287929538421874,-0.4287929538421874
2025-06-17,4.0,0.10719823846054685,0.10719823846054685
2025-06-18,3.875,0.053599119230273426,0.053599119230273426
2025-06-19,0.875,-1.232779742296289,-1.232779742296289
2025-06-20,4.625,0.375193834611914,0.375193834611914
2025-06-23,3.25,-0.2143964769210937,-0.2143964769210937
2025-06-24,2.625,-0.48239207307246085,-0.48239207307246085
2025-06-25,1.25,-1.0719823846054686,-1.0719823846054686
